caseid,alt,choice,numalts,ivtt,ovtt,tvtt,cost,dist,female,age,numveh,hhinc,wkccbd,vehbywrk
10,SR2,0,4,19.58,6,25.58,50.27,11.17,1,29,1,32.5,0,1
10,SR3+,0,4,21.58,6,27.58,28.73,11.17,1,29,1,32.5,0,1
10,Transit,0,4,26.56,23.4,49.96,131.77,11.17,1,29,1,32.5,0,1
11,DA,0,5,28.12,10,38.12,461.13,10.55,0,19,1,42.5,1,0.5
11,SR2,0,5,33.12,10,43.12,230.56,10.55,0,19,1,42.5,1,0.5
11,SR3+,0,5,20.12,10,30.12,118.06,10.55,0,19,1,42.5,1,0.5
11,Transit,1,5,17.3,14,31.3,159.45,10.55,0,19,1,42.5,1,0.5
11,Bike,0,5,53.4,10,63.4,0,10.55,0,19,1,42.5,1,0.5
12,DA,1,4,11.56,2,13.56,52.06,5.55,0,60,5,37.5,0,5
12,SR2,0,4,16.56,2,18.56,26.03,5.55,0,60,5,37.5,0,5
12,SR3+,0,4,18.56,2,20.56,14.87,5.55,0,60,5,37.5,0,5
12,Transit,0,4,20.1,15.5,35.6,124.1,5.55,0,60,5,37.5,0,5
13,DA,1,4,27.64,2,29.64,154.69,16.71,1,55,5,87.5,0,1.67
13,SR2,0,4,32.64,2,34.64,77.35,16.71,1,55,5,87.5,0,1.67
13,SR3+,0,4,34.64,2,36.64,44.2,16.71,1,55,5,87.5,0,1.67
13,Transit,0,4,33.19,48.34,81.53,185,16.71,1,55,5,87.5,0,1.67
14,DA,1,4,27.64,2,29.64,154.69,16.71,0,62,5,87.5,0,1.67
14,SR2,0,4,32.64,2,34.64,77.35,16.71,0,62,5,87.5,0,1.67
14,SR3+,0,4,34.64,2,36.64,44.2,16.71,0,62,5,87.5,0,1.67
14,Transit,0,4,32.3,27.6,59.9,179.1,16.71,0,62,5,87.5,0,1.67
15,DA,1,5,11.62,2,13.62,63.22,6.96,1,46,5,112.5,0,2.5
15,SR2,0,5,16.62,2,18.62,31.61,6.96,1,46,5,112.5,0,2.5
15,SR3+,0,5,18.62,2,20.62,18.06,6.96,1,46,5,112.5,0,2.5
15,Transit,0,5,18.18,20.9,39.08,124.18,6.96,1,46,5,112.5,0,2.5
15,Bike,0,5,36.25,2,38.25,0,6.96,1,46,5,112.5,0,2.5
16,DA,1,3,57.04,2,59.04,378.01,42.72,0,32,3,112.5,0,1.5
16,SR2,0,3,62.24,2,64.24,189.01,42.72,0,32,3,112.5,0,1.5
16,SR3+,0,3,64.24,2,66.24,108,42.72,0,32,3,112.5,0,1.5
17,DA,0,4,37.24,2,39.24,276.6,31.19,0,39,3,112.5,0,1.5
17,SR2,0,4,42.44,2,44.44,138.3,31.19,0,39,3,112.5,0,1.5
17,SR3+,0,4,44.44,2,46.44,79.03,31.19,0,39,3,112.5,0,1.5
17,Transit,1,4,61.3,34.2,95.5,287.1,31.19,0,39,3,112.5,0,1.5
18,DA,0,6,7.12,2,9.12,28.6,2.84,0,36,1,12.5,0,1
18,SR2,1,6,12.12,2,14.12,14.3,2.84,0,36,1,12.5,0,1
18,SR3+,0,6,14.12,2,16.12,8.17,2.84,0,36,1,12.5,0,1
18,Transit,0,6,6.44,21.52,27.96,100,2.84,0,36,1,12.5,0,1
18,Bike,0,6,16.4,2,18.4,0,2.84,0,36,1,12.5,0,1
18,Walk,0,6,0,0,58.8,0,2.84,0,36,1,12.5,0,1
19,DA,1,4,28.92,2,30.92,146.5,14.98,1,31,2,17.5,0,1
19,SR2,0,4,33.92,2,35.92,73.25,14.98,1,31,2,17.5,0,1
19,SR3+,0,4,35.92,2,37.92,41.86,14.98,1,31,2,17.5,0,1
19,Transit,0,4,46.54,43.54,90.08,175,14.98,1,31,2,17.5,0,1
20,DA,1,4,19.24,2,21.24,126.96,14.08,1,64,3,37.5,0,1.5
20,SR2,0,4,24.24,2,26.24,63.48,14.08,1,64,3,37.5,0,1.5
20,SR3+,0,4,26.24,2,28.24,36.28,14.08,1,64,3,37.5,0,1.5
20,Transit,0,4,50.83,53.19,104.02,188,14.08,1,64,3,37.5,0,1.5
21,DA,1,4,19.02,6.5,25.52,238.24,13.26,1,35,2,87.5,0,1
21,SR2,0,4,24.12,6.5,30.62,119.12,13.26,1,35,2,87.5,0,1
21,SR3+,0,4,26.12,6.5,32.62,68.07,13.26,1,35,2,87.5,0,1
21,Transit,0,4,21.8,32.8,54.6,150,13.26,1,35,2,87.5,0,1
22,DA,0,3,23.44,2,25.44,162.72,18.18,0,35,2,42.5,0,2
22,SR2,0,3,28.54,2,30.54,81.36,18.18,0,35,2,42.5,0,2
22,SR3+,1,3,30.54,2,32.54,46.49,18.18,0,35,2,42.5,0,2
23,DA,1,5,12.62,2.5,15.12,59.99,6.24,0,33,4,55,0,2
23,SR2,0,5,17.62,2.5,20.12,30,6.24,0,33,4,55,0,2
23,SR3+,0,5,19.62,2.5,22.12,17.14,6.24,0,33,4,55,0,2
23,Transit,0,5,17.83,41.14,58.97,100,6.24,0,33,4,55,0,2
23,Bike,0,5,34.4,2.5,36.9,0,6.24,0,33,4,55,0,2
24,DA,1,4,23.7,5.5,29.2,302.05,17.38,0,38,3,37.5,0,0.75
24,SR2,0,4,28.7,5.5,34.2,151.02,17.38,0,38,3,37.5,0,0.75
24,SR3+,0,4,30.7,5.5,36.2,86.3,17.38,0,38,3,37.5,0,0.75
24,Transit,0,4,31.83,26.46,58.29,150,17.38,0,38,3,37.5,0,0.75
25,DA,1,5,7.42,2,9.42,28.17,2.79,1,25,4,87.5,0,2
25,SR2,0,5,12.42,2,14.42,14.08,2.79,1,25,4,87.5,0,2
25,SR3+,0,5,14.42,2,16.42,8.05,2.79,1,25,4,87.5,0,2
25,Transit,0,5,9.53,17.6,27.13,100,2.79,1,25,4,87.5,0,2
25,Walk,0,5,0,0,57.8,0,2.79,1,25,4,87.5,0,2
26,DA,1,6,8.62,2,10.62,37.15,3.77,1,32,1,22.5,0,1
26,SR2,0,6,13.62,2,15.62,18.57,3.77,1,32,1,22.5,0,1
26,SR3+,0,6,15.62,2,17.62,10.61,3.77,1,32,1,22.5,0,1
26,Transit,0,6,13.52,37.24,50.76,100,3.77,1,32,1,22.5,0,1
26,Bike,0,6,21.3,2,23.3,0,3.77,1,32,1,22.5,0,1
26,Walk,0,6,0,0,77.4,0,3.77,1,32,1,22.5,0,1
27,DA,1,4,15.8,3.5,19.3,108.39,12.03,1,58,2,55,0,1
27,SR2,0,4,20.8,3.5,24.3,54.19,12.03,1,58,2,55,0,1
27,SR3+,0,4,22.8,3.5,26.3,30.97,12.03,1,58,2,55,0,1
27,Transit,0,4,32.61,21.9,54.51,154.8,12.03,1,58,2,55,0,1
28,DA,0,4,17.7,2.5,20.2,122.78,13.78,0,60,2,55,0,1
28,SR2,1,4,22.7,2.5,25.2,61.39,13.78,0,60,2,55,0,1
28,SR3+,0,4,24.7,2.5,27.2,35.08,13.78,0,60,2,55,0,1
28,Transit,0,4,27.92,31.08,59,160,13.78,0,60,2,55,0,1
29,DA,1,4,20,2,22,120.07,13.37,0,27,2,37.5,0,2
29,SR2,0,4,25,2,27,60.04,13.37,0,27,2,37.5,0,2
29,SR3+,0,4,27,2,29,34.31,13.37,0,27,2,37.5,0,2
29,Transit,0,4,38.36,51.18,89.54,130,13.37,0,27,2,37.5,0,2
30,DA,1,5,4.8,2,6.8,10.2,0.77,0,39,2,32.5,0,1
30,SR2,0,5,9.8,2,11.8,5.1,0.77,0,39,2,32.5,0,1
30,SR3+,0,5,11.8,2,13.8,2.91,0.77,0,39,2,32.5,0,1
30,Transit,0,5,2.47,14.87,17.34,100,0.77,0,39,2,32.5,0,1
30,Walk,0,5,0,0,17.4,0,0.77,0,39,2,32.5,0,1
31,DA,1,4,30.18,2.5,32.68,196.03,21.92,0,53,4,67.5,0,1.33
31,SR2,0,4,35.28,2.5,37.78,98.01,21.92,0,53,4,67.5,0,1.33
31,SR3+,0,4,37.28,2.5,39.78,56.01,21.92,0,53,4,67.5,0,1.33
31,Transit,0,4,54.34,40.36,94.7,210,21.92,0,53,4,67.5,0,1.33
32,DA,1,5,10.12,3.5,13.62,46.91,4.99,1,54,4,67.5,0,1.33
32,SR2,0,5,15.12,3.5,18.62,23.46,4.99,1,54,4,67.5,0,1.33
32,SR3+,0,5,17.12,3.5,20.62,13.4,4.99,1,54,4,67.5,0,1.33
32,Transit,0,5,18.15,13.5,31.65,166.6,4.99,1,54,4,67.5,0,1.33
32,Bike,0,5,26.9,3.5,30.4,0,4.99,1,54,4,67.5,0,1.33
33,DA,1,3,39.94,2,41.94,268.58,30.07,1,42,4,67.5,0,1.33
33,SR2,0,3,44.94,2,46.94,134.29,30.07,1,42,4,67.5,0,1.33
33,SR3+,0,3,46.94,2,48.94,76.74,30.07,1,42,4,67.5,0,1.33
34,DA,1,6,8.18,2,10.18,28.78,2.74,0,41,4,67.5,0,1.33
34,SR2,0,6,13.18,2,15.18,14.39,2.74,0,41,4,67.5,0,1.33
34,SR3+,0,6,15.18,2,17.18,8.22,2.74,0,41,4,67.5,0,1.33
34,Transit,0,6,18.57,41.8,60.37,100,2.74,0,41,4,67.5,0,1.33
34,Bike,0,6,16.5,2,18.5,0,2.74,0,41,4,67.5,0,1.33
34,Walk,0,6,0,0,56.8,0,2.74,0,41,4,67.5,0,1.33
35,DA,1,6,7.88,2,9.88,37.15,3.8,0,50,3,112.5,0,1.5
35,SR2,0,6,12.88,2,14.88,18.57,3.8,0,50,3,112.5,0,1.5
35,SR3+,0,6,14.88,2,16.88,10.61,3.8,0,50,3,112.5,0,1.5
35,Transit,0,6,22.48,13.9,36.38,124.1,3.8,0,50,3,112.5,0,1.5
35,Bike,0,6,21.3,2,23.3,0,3.8,0,50,3,112.5,0,1.5
35,Walk,0,6,0,0,78,0,3.8,0,50,3,112.5,0,1.5
36,DA,1,6,7.88,2,9.88,37.15,3.8,1,48,3,112.5,0,1.5
36,SR2,0,6,12.88,2,14.88,18.57,3.8,1,48,3,112.5,0,1.5
36,SR3+,0,6,14.88,2,16.88,10.61,3.8,1,48,3,112.5,0,1.5
36,Transit,0,6,22.48,13.9,36.38,124.1,3.8,1,48,3,112.5,0,1.5
36,Bike,0,6,21.3,2,23.3,0,3.8,1,48,3,112.5,0,1.5
36,Walk,0,6,0,0,78,0,3.8,1,48,3,112.5,0,1.5
37,DA,1,4,10.74,2.5,13.24,45.61,4.75,1,21,2,55,0,1
37,SR2,0,4,15.74,2.5,18.24,22.8,4.75,1,21,2,55,0,1
37,SR3+,0,4,17.74,2.5,20.24,13.03,4.75,1,21,2,55,0,1
37,Transit,0,4,14.37,23.68,38.05,100,4.75,1,21,2,55,0,1
38,DA,1,5,5.14,3.5,8.64,10.64,0.84,0,24,3,32.5,0,3
38,SR2,0,5,10.14,3.5,13.64,5.32,0.84,0,24,3,32.5,0,3
38,SR3+,0,5,12.14,3.5,15.64,3.04,0.84,0,24,3,32.5,0,3
38,Transit,0,5,2,17.03,19.03,100,0.84,0,24,3,32.5,0,3
38,Walk,0,5,0,0,20.3,0,0.84,0,24,3,32.5,0,3
39,DA,1,6,5.28,2,7.28,23.81,2.37,0,36,2,42.5,0,1
39,SR2,0,6,10.28,2,12.28,11.9,2.37,0,36,2,42.5,0,1
39,SR3+,0,6,12.28,2,14.28,6.8,2.37,0,36,2,42.5,0,1
39,Transit,0,6,20.91,44.2,65.11,100,2.37,0,36,2,42.5,0,1
39,Bike,0,6,13.65,2,15.65,0,2.37,0,36,2,42.5,0,1
39,Walk,0,6,0,0,49.4,0,2.37,0,36,2,42.5,0,1
40,DA,1,4,28.12,2,30.12,170.13,17.25,0,39,3,87.5,0,1.5
40,SR2,0,4,33.22,2,35.22,85.06,17.25,0,39,3,87.5,0,1.5
40,SR3+,0,4,35.22,2,37.22,48.61,17.25,0,39,3,87.5,0,1.5
40,Transit,0,4,40.61,48.58,89.19,130,17.25,0,39,3,87.5,0,1.5
41,DA,1,5,5.74,2,7.74,12.21,0.92,0,36,1,27.5,0,1
41,SR2,0,5,10.74,2,12.74,6.1,0.92,0,36,1,27.5,0,1
41,SR3+,0,5,12.74,2,14.74,3.49,0.92,0,36,1,27.5,0,1
41,Transit,0,5,2.32,13.9,16.22,100,0.92,0,36,1,27.5,0,1
41,Walk,0,5,0,0,20.4,0,0.92,0,36,1,27.5,0,1
42,DA,0,4,23.54,2.5,26.04,153.73,17.25,0,27,1,12.5,0,0.5
42,SR2,0,4,28.54,2.5,31.04,76.87,17.25,0,27,1,12.5,0,0.5
42,SR3+,0,4,30.54,2.5,33.04,43.92,17.25,0,27,1,12.5,0,0.5
42,Transit,1,4,36.68,33.48,70.16,175,17.25,0,27,1,12.5,0,0.5
43,DA,1,5,7.1,2.5,9.6,29.56,3.04,1,25,2,37.5,0,1
43,SR2,0,5,12.1,2.5,14.6,14.78,3.04,1,25,2,37.5,0,1
43,SR3+,0,5,14.1,2.5,16.6,8.45,3.04,1,25,2,37.5,0,1
43,Transit,0,5,14.56,24.12,38.68,100,3.04,1,25,2,37.5,0,1
43,Walk,0,5,0,0,63.3,0,3.04,1,25,2,37.5,0,1
44,DA,1,4,35.78,3.5,39.28,218.74,19.27,0,25,2,37.5,0,1
44,SR2,0,4,40.78,3.5,44.28,109.37,19.27,0,25,2,37.5,0,1
44,SR3+,0,4,42.68,3.5,46.18,48.78,19.27,0,25,2,37.5,0,1
44,Transit,0,4,56.6,38.4,95,280,19.27,0,25,2,37.5,0,1
45,DA,1,4,14.02,2,16.02,62.78,6.15,0,26,6,67.5,0,6
45,SR2,0,4,19.02,2,21.02,31.39,6.15,0,26,6,67.5,0,6
45,SR3+,0,4,21.02,2,23.02,17.94,6.15,0,26,6,67.5,0,6
45,Transit,0,4,54.19,33.38,87.57,100,6.15,0,26,6,67.5,0,6
46,DA,1,5,9.58,2,11.58,46.13,3.47,0,27,1,32.5,0,1
46,SR2,0,5,14.58,2,16.58,23.06,3.47,0,27,1,32.5,0,1
46,SR3+,0,5,16.58,2,18.58,13.18,3.47,0,27,1,32.5,0,1
46,Transit,0,5,11.73,19.36,31.09,100,3.47,0,27,1,32.5,0,1
46,Walk,0,5,0,0,97.6,0,3.47,0,27,1,32.5,0,1
47,DA,1,5,15.82,6.5,22.32,175.11,5.69,0,55,3,145,0,1
47,SR2,0,5,20.82,6.5,27.32,87.56,5.69,0,55,3,145,0,1
47,SR3+,0,5,22.82,6.5,29.32,50.03,5.69,0,55,3,145,0,1
47,Transit,0,5,24.64,24.6,49.24,100,5.69,0,55,3,145,0,1
47,Bike,0,5,31.6,6.5,38.1,0,5.69,0,55,3,145,0,1
48,DA,1,5,8.34,3.5,11.84,26.94,2.62,0,46,2,145,0,1
48,SR2,0,5,13.34,3.5,16.84,13.47,2.62,0,46,2,145,0,1
48,SR3+,0,5,15.34,3.5,18.84,7.7,2.62,0,46,2,145,0,1
48,Transit,0,5,5.18,20.3,25.48,100,2.62,0,46,2,145,0,1
48,Walk,0,5,0,0,55.9,0,2.62,0,46,2,145,0,1
49,DA,1,5,15.76,4.5,20.26,215.9,6.28,1,40,4,32.5,0,1.33
49,SR2,0,5,20.76,4.5,25.26,107.95,6.28,1,40,4,32.5,0,1.33
49,SR3+,0,5,22.76,4.5,27.26,61.68,6.28,1,40,4,32.5,0,1.33
49,Transit,0,5,15.24,34.29,49.53,105,6.28,1,40,4,32.5,0,1.33
49,Bike,0,5,32.05,4.5,36.55,0,6.28,1,40,4,32.5,0,1.33
50,DA,1,5,13.24,6.5,19.74,122.73,4.48,0,45,4,32.5,0,1.33
50,SR2,0,5,18.24,6.5,24.74,61.36,4.48,0,45,4,32.5,0,1.33
50,SR3+,0,5,20.24,6.5,26.74,35.07,4.48,0,45,4,32.5,0,1.33
50,Transit,0,5,17.11,13.25,30.36,132.73,4.48,0,45,4,32.5,0,1.33
50,Bike,0,5,24.5,6.5,31,0,4.48,0,45,4,32.5,0,1.33
51,DA,0,4,36.52,7.5,44.02,424.29,15.03,1,32,2,37.5,1,2
51,SR2,0,4,41.52,7.5,49.02,212.15,15.03,1,32,2,37.5,1,2
51,SR3+,0,4,28.52,7.5,36.02,107.54,15.03,1,32,2,37.5,1,2
51,Transit,1,4,39.5,28.2,67.7,180,15.03,1,32,2,37.5,1,2
52,DA,0,4,37.32,7.5,44.82,508.57,15.54,1,38,1,32.5,1,1
52,SR2,0,4,42.42,7.5,49.92,254.28,15.54,1,38,1,32.5,1,1
52,SR3+,1,4,29.42,7.5,36.92,131.62,15.54,1,38,1,32.5,1,1
52,Transit,0,4,39.5,33.2,72.7,180,15.54,1,38,1,32.5,1,1
53,DA,0,4,34.5,6.5,41,580.28,15.29,1,37,2,112.5,1,1
53,SR2,0,4,39.6,6.5,46.1,290.14,15.29,1,37,2,112.5,1,1
53,SR3+,0,4,41.6,6.5,48.1,165.79,15.29,1,37,2,112.5,1,1
53,Transit,1,4,32.21,31.42,63.63,180,15.29,1,37,2,112.5,1,1
54,DA,1,4,13.42,4.5,17.92,44.56,4.38,0,43,2,145,0,2
54,SR2,0,4,18.42,4.5,22.92,22.28,4.38,0,43,2,145,0,2
54,SR3+,0,4,20.42,4.5,24.92,12.73,4.38,0,43,2,145,0,2
54,Transit,0,4,15.97,44.68,60.65,100,4.38,0,43,2,145,0,2
55,DA,1,4,32.24,7.5,39.74,404.5,12.99,0,65,2,87.5,1,2
55,SR2,0,4,37.24,7.5,44.74,202.25,12.99,0,65,2,87.5,1,2
55,SR3+,0,4,24.24,7.5,31.74,101.88,12.99,0,65,2,87.5,1,2
55,Transit,0,4,27.95,9,36.95,187.73,12.99,0,65,2,87.5,1,2
56,DA,1,3,29.32,2,31.32,213.38,23.62,1,43,3,67.5,0,1.5
56,SR2,0,3,34.42,2,36.42,106.69,23.62,1,43,3,67.5,0,1.5
56,SR3+,0,3,36.42,2,38.42,60.97,23.62,1,43,3,67.5,0,1.5
57,DA,0,4,37.32,6.5,43.82,990.75,15.54,0,43,3,67.5,1,1.5
57,SR2,0,4,42.42,6.5,48.92,495.37,15.54,0,43,3,67.5,1,1.5
57,SR3+,0,4,44.42,6.5,50.92,283.07,15.54,0,43,3,67.5,1,1.5
57,Transit,1,4,35.23,37.18,72.41,180,15.54,0,43,3,67.5,1,1.5
58,DA,1,3,30.36,2,32.36,196.64,21.67,0,26,4,112.5,0,1.33
58,SR2,0,3,35.46,2,37.46,98.32,21.67,0,26,4,112.5,0,1.33
58,SR3+,0,3,37.46,2,39.46,56.18,21.67,0,26,4,112.5,0,1.33
59,DA,1,6,3.44,4.5,7.94,6.54,0.49,0,57,2,87.5,0,1
59,SR2,0,6,8.44,4.5,12.94,3.27,0.49,0,57,2,87.5,0,1
59,SR3+,0,6,10.44,4.5,14.94,1.87,0.49,0,57,2,87.5,0,1
59,Transit,0,6,1.33,14.47,15.8,100,0.49,0,57,2,87.5,0,1
59,Bike,0,6,3.75,4.5,8.25,0,0.49,0,57,2,87.5,0,1
59,Walk,0,6,0,0,14.3,0,0.49,0,57,2,87.5,0,1
60,DA,1,5,13.94,2.5,16.44,49.7,5.22,1,27,2,47.5,0,2
60,SR2,0,5,18.94,2.5,21.44,24.85,5.22,1,27,2,47.5,0,2
60,SR3+,0,5,20.94,2.5,23.44,14.2,5.22,1,27,2,47.5,0,2
60,Transit,0,5,24.85,36.07,60.92,105,5.22,1,27,2,47.5,0,2
60,Bike,0,5,28.5,2.5,31,0,5.22,1,27,2,47.5,0,2
61,DA,1,6,5.06,2,7.06,17.7,1.56,0,50,4,87.5,0,2
61,SR2,0,6,10.06,2,12.06,8.85,1.56,0,50,4,87.5,0,2
61,SR3+,0,6,12.06,2,14.06,5.06,1.56,0,50,4,87.5,0,2
61,Transit,0,6,11.03,22.96,33.99,100,1.56,0,50,4,87.5,0,2
61,Bike,0,6,10.15,2,12.15,0,1.56,0,50,4,87.5,0,2
61,Walk,0,6,0,0,33.2,0,1.56,0,50,4,87.5,0,2
62,DA,1,5,14.32,2,16.32,82.67,9.09,1,35,4,55,0,2
62,SR2,0,5,19.32,2,21.32,41.33,9.09,1,35,4,55,0,2
62,SR3+,0,5,21.32,2,23.32,23.62,9.09,1,35,4,55,0,2
62,Transit,0,5,20.26,30.94,51.2,105,9.09,1,35,4,55,0,2
62,Bike,0,5,47.4,2,49.4,0,9.09,1,35,4,55,0,2
63,DA,1,5,8.44,2,10.44,33.31,3.34,1,46,2,67.5,0,1
63,SR2,0,5,13.44,2,15.44,16.66,3.34,1,46,2,67.5,0,1
63,SR3+,0,5,15.44,2,17.44,9.52,3.34,1,46,2,67.5,0,1
63,Transit,0,5,16.68,33.63,50.31,130,3.34,1,46,2,67.5,0,1
63,Walk,0,5,0,0,68.8,0,3.34,1,46,2,67.5,0,1
64,DA,1,5,8.44,2,10.44,33.31,3.34,0,67,2,67.5,0,1
64,SR2,0,5,13.44,2,15.44,16.66,3.34,0,67,2,67.5,0,1
64,SR3+,0,5,15.44,2,17.44,9.52,3.34,0,67,2,67.5,0,1
64,Transit,0,5,16.68,33.63,50.31,130,3.34,0,67,2,67.5,0,1
64,Walk,0,5,0,0,68.8,0,3.34,0,67,2,67.5,0,1
65,DA,1,4,9.86,3.5,13.36,51.54,5.54,0,50,1,47.5,0,1
65,SR2,0,4,14.86,3.5,18.36,25.77,5.54,0,50,1,47.5,0,1
65,SR3+,0,4,16.86,3.5,20.36,14.72,5.54,0,50,1,47.5,0,1
65,Transit,0,4,13.86,33.78,47.64,100,5.54,0,50,1,47.5,0,1
66,DA,1,4,18.54,2,20.54,97.14,10.66,0,45,3,32.5,0,1.5
66,SR2,0,4,23.54,2,25.54,48.57,10.66,0,45,3,32.5,0,1.5
66,SR3+,0,4,25.54,2,27.54,27.75,10.66,0,45,3,32.5,0,1.5
66,Transit,0,4,31.05,22.8,53.85,193.81,10.66,0,45,3,32.5,0,1.5
67,DA,0,4,42.22,6.5,48.72,653.44,23.32,0,72,2,42.5,1,2
67,SR2,0,4,47.22,6.5,53.72,326.72,23.32,0,72,2,42.5,1,2
67,SR3+,0,4,49.22,6.5,55.72,186.7,23.32,0,72,2,42.5,1,2
67,Transit,1,4,44.6,31.18,75.78,240,23.32,0,72,2,42.5,1,2
68,DA,1,6,6.82,3.5,10.32,26.42,2.59,1,44,4,67.5,0,2
68,SR2,0,6,11.82,3.5,15.32,13.21,2.59,1,44,4,67.5,0,2
68,SR3+,0,6,13.82,3.5,17.32,7.55,2.59,1,44,4,67.5,0,2
68,Transit,0,6,2.74,30,32.74,100,2.59,1,44,4,67.5,0,2
68,Bike,0,6,15.15,3.5,18.65,0,2.59,1,44,4,67.5,0,2
68,Walk,0,6,0,0,55.3,0,2.59,1,44,4,67.5,0,2
69,DA,0,4,37.9,7.5,45.4,475.92,21.25,0,39,1,55,1,0.5
69,SR2,0,4,42.9,7.5,50.4,237.96,21.25,0,39,1,55,1,0.5
69,SR3+,0,4,29.9,7.5,37.4,122.29,21.25,0,39,1,55,1,0.5
69,Transit,1,4,31.5,9,40.5,228.81,21.25,0,39,1,55,1,0.5
70,DA,1,5,15.42,2,17.42,70.37,7.33,0,68,2,55,0,2
70,SR2,0,5,20.42,2,22.42,35.19,7.33,0,68,2,55,0,2
70,SR3+,0,5,22.42,2,24.42,20.11,7.33,0,68,2,55,0,2
70,Transit,0,5,22.24,32.5,54.74,126.28,7.33,0,68,2,55,0,2
70,Bike,0,5,40.35,2,42.35,0,7.33,0,68,2,55,0,2
71,DA,1,4,42.34,2,44.34,358.78,35.16,0,40,2,47.5,0,2
71,SR2,0,4,47.34,2,49.34,179.22,35.16,0,40,2,47.5,0,2
71,SR3+,0,4,49.34,2,51.34,102.41,35.16,0,40,2,47.5,0,2
71,Transit,0,4,89.21,24.89,114.1,443.4,35.16,0,40,2,47.5,0,2
72,DA,1,4,14.32,2,16.32,75.95,8.27,0,25,1,17.5,0,1
72,SR2,0,4,19.32,2,21.32,37.98,8.27,0,25,1,17.5,0,1
72,SR3+,0,4,21.32,2,23.32,21.7,8.27,0,25,1,17.5,0,1
72,Transit,0,4,19.41,26.3,45.71,126.28,8.27,0,25,1,17.5,0,1
